PropInfoCurYear,PropInfoPIN,PropInfoAddress,PropInfoCity,PropInfoTownship,PropInfoClassification,PropInfoSqFt,PropInfoNBHD,PropInfoTaxcode,AsdValCurYear,AsdValPrevYear,AsdValLandFirstPass,AsdValLandCertified,AsdValBldgFirstPass,AsdValBldgCertified,AsdValTotalFirstPass,AsdValTotalCertified,PropCharCurrYear,PropCharMktValCurrYear,PropCharPrevYear,PropCharMktValPrevYear,PropCharDesc,PropCharResType,PropCharUse,PropCharApts,PropCharExtConst,PropCharFullBaths,PropCharHalfBaths,PropCharBasement,PropCharAttic,PropCharCentAir,PropCharFrpl,PropCharGarage,PropCharAge,PropCharBldgSqFt,PropCharAsmtPass
2019,15-01-105-013-0000,1511 FRANKLIN AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","73,177","73,177","84,037","84,037",2019,"$840,370",2018,"$840,370","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,1,Full and Rec Room,None,No,1,2 car detached,90,"2,340",Assessor Certified
2019,15-01-105-014-0000,1509 FRANKLIN AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","61,223","61,223","72,083","72,083",2019,"$720,830",2018,"$720,830","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,1,1,Full and Unfinished,None,No,1,2 car detached,91,"2,726",Assessor Certified
2019,15-01-105-015-0000,1501 FRANKLIN AVE ,RIVER FOREST,River Forest,206,"13,394",15,33001,2019 Assessor Certified,2018,"16,072","16,072","56,377","56,377","72,449","72,449",2019,"$724,490",2018,"$724,490","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,3,2,Full and Rec Room,None,Yes,2,2 car detached,76,"3,032",Assessor Certified
2019,15-01-105-018-0000,1522 ASHLAND AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","38,915","38,915","49,775","49,775",2019,"$497,750",2018,"$497,750","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,1,Partial and Unfinished,Partial and Unfinished,Yes,2,2 car attached,66,"2,449",Assessor Certified
2019,15-01-105-020-0000,1510 ASHLAND AVE ,RIVER FOREST,River Forest,206,"13,937",15,33001,2019 Assessor Certified,2018,"16,724","16,724","50,777","50,777","67,501","67,501",2019,"$675,010",2018,"$675,010","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Frame/Masonry,1,3,Full and Rec Room,None,Yes,2,2 car attached,67,"3,148",Assessor Certified
2019,15-01-105-021-0000,1506 ASHLAND AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","51,731","51,731","62,591","62,591",2019,"$625,910",2018,"$625,910","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Frame/Masonry,3,1,Full and Rec Room,None,Yes,2,1.5 car attached,64,"3,228",Assessor Certified
2019,15-01-105-025-0000,1534 ASHLAND AVE ,RIVER FOREST,River Forest,206,"11,946",15,33012,2019 Assessor Certified,2018,"14,335","14,335","59,873","59,873","74,208","74,208",2019,"$742,080",2018,"$742,080","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Frame/Masonry,2,1,Full and Rec Room,None,Yes,2,2 car detached,71,"3,538",Assessor Certified
2019,15-01-105-028-0000,1526 ASHLAND AVE ,RIVER FOREST,River Forest,206,"9,050",15,33012,2019 Assessor Certified,2018,"10,860","10,860","41,437","41,437","52,297","52,297",2019,"$522,970",2018,"$522,970","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,0,Partial and Unfinished,Partial and Unfinished,Yes,2,2 car detached,66,"2,449",Assessor Certified
2019,15-01-105-037-0000,1531 FRANKLIN AVE ,RIVER FOREST,River Forest,206,"11,312",15,33012,2019 Assessor Certified,2018,"13,574","13,574","67,478","67,478","81,052","81,052",2019,"$810,520",2018,"$810,520","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Frame/Masonry,4,1,Partial and Unfinished,None,Yes,2,2 car attached,63,"4,577",Assessor Certified
2019,15-01-106-031-0000,1518 LATHROP AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","44,146","44,146","55,006","55,006",2019,"$550,060",2018,"$550,060","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,1,Full and Rec Room,Partial and Unfinished,Yes,2,2 car attached,66,"2,780",Assessor Certified
2019,15-01-106-032-0000,1514 LATHROP AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","52,729","52,729","63,589","63,589",2019,"$635,890",2018,"$635,890","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,2,Full and Rec Room,None,Yes,2,2 car attached,66,"2,695",Assessor Certified
2019,15-01-106-033-0000,1515 ASHLAND AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","44,403","44,403","55,263","55,263",2019,"$552,630",2018,"$552,630","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,1,Full and Unfinished,None,Yes,1,2 car attached,65,"2,447",Assessor Certified
2019,15-01-106-034-0000,1513 ASHLAND AVE ,RIVER FOREST,River Forest,206,"9,030",15,33001,2019 Assessor Certified,2018,"10,836","10,836","49,090","49,090","59,926","59,926",2019,"$599,260",2018,"$599,260","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,2,Full and Unfinished,None,Yes,2,2 car attached,63,"2,500",Assessor Certified
2019,15-01-106-042-0000,1530 LATHROP AVE ,RIVER FOREST,River Forest,206,"9,652",15,33012,2019 Assessor Certified,2018,"11,582","11,582","40,188","40,188","51,770","51,770",2019,"$517,700",2018,"$517,700","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Frame/Masonry,2,0,Full and Unfinished,None,Yes,1,1 car attached,65,"2,319",Assessor Certified
2019,15-01-107-003-0000,1439 PARK AVE ,RIVER FOREST,River Forest,206,"10,860",15,33001,2019 Assessor Certified,2018,"13,032","13,032","42,682","42,682","55,714","55,714",2019,"$557,140",2018,"$557,140","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,1,Full and Rec Room,None,Yes,1,2 car detached,89,"2,681",Assessor Certified
2019,15-01-107-004-0000,1435 PARK AVE ,RIVER FOREST,River Forest,206,"10,860",15,33001,2019 Assessor Certified,2018,"13,032","13,032","45,504","45,504","58,536","58,536",2019,"$585,360",2018,"$585,360","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Frame/Masonry,1,1,Partial and Rec Room,None,Yes,0,2.5 car detached,84,"2,865",Assessor Certified
2019,15-01-107-005-0000,1431 PARK AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","54,391","54,391","65,251","65,251",2019,"$652,510",2018,"$652,510","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,3,1,Full and Rec Room,None,Yes,1,2 car detached,81,"3,144",Assessor Certified
2019,15-01-107-006-0000,1427 PARK AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","41,364","41,364","52,224","52,224",2019,"$522,240",2018,"$522,240","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,1,Partial and Rec Room,Partial and Unfinished,No,2,2 car detached,82,"2,613",Assessor Certified
2019,15-01-107-007-0000,1423 PARK AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","45,339","45,339","56,199","56,199",2019,"$561,990",2018,"$561,990","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Frame,1,0,Full and Rec Room,None,Yes,1,2 car detached,93,"2,362",Assessor Certified
2019,15-01-107-008-0000,1419 PARK AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","41,003","41,003","51,863","51,863",2019,"$518,630",2018,"$518,630","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Frame/Masonry,2,0,Full and Rec Room,Full and Unfinished,Yes,1,1.5 car detached,89,"2,476",Assessor Certified
2019,15-01-107-012-0000,1403 PARK AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","49,766","49,766","60,626","60,626",2019,"$606,260",2018,"$606,260","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Frame/Masonry,3,0,Full and Rec Room,None,Yes,2,2.5 car attached,76,"3,072",Assessor Certified
2019,15-01-107-031-0000,1428 FRANKLIN AVE ,RIVER FOREST,River Forest,206,"13,575",15,33001,2019 Assessor Certified,2018,"16,290","16,290","49,294","49,294","65,584","65,584",2019,"$655,840",2018,"$655,840","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,3,0,Full and Rec Room,None,Yes,1,2 car detached,67,"3,110",Assessor Certified
2019,15-01-107-033-0000,1400 FRANKLIN AVE ,RIVER FOREST,River Forest,206,"10,860",15,33001,2019 Assessor Certified,2018,"13,032","13,032","54,750","54,750","67,782","67,782",2019,"$677,820",2018,"$677,820","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,3,0,Partial and Rec Room,Partial and Unfinished,No,1,2 car attached,67,"3,361",Assessor Certified
2019,15-01-107-038-0000,1418 FRANKLIN AVE ,RIVER FOREST,River Forest,206,"17,195",15,33001,2019 Assessor Certified,2018,"20,634","20,634","70,550","70,550","91,184","91,184",2019,"$911,840",2018,"$911,840","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,1,Partial and Rec Room,None,Yes,1,3 car detached,91,"4,250",Assessor Certified
2019,15-01-108-001-0000,1445 FRANKLIN AVE ,RIVER FOREST,River Forest,206,"8,973",15,33001,2019 Assessor Certified,2018,"10,767","10,767","42,627","42,627","53,394","53,394",2019,"$533,940",2018,"$533,940","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,1,1,Partial and Rec Room,None,Yes,1,2 car attached,76,"2,311",Assessor Certified
2019,15-01-108-003-0000,1439 FRANKLIN AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","35,828","35,828","46,688","46,688",2019,"$466,880",2018,"$466,880","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,0,Full and Rec Room,None,No,0,2 car detached,75,"2,310",Assessor Certified
2019,15-01-108-004-0000,1435 FRANKLIN AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","37,579","37,579","48,439","48,439",2019,"$484,390",2018,"$484,390","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,1,Full and Rec Room,Full and Unfinished,Yes,2,2 car detached,80,"2,290",Assessor Certified
2019,15-01-108-013-0000,1403 FRANKLIN AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","66,284","66,284","77,144","77,144",2019,"$771,440",2018,"$771,440","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,4,1,Full and Rec Room,None,No,1,2 car attached,86,"3,642",Assessor Certified
2019,15-01-108-014-0000,1446 ASHLAND AVE ,RIVER FOREST,River Forest,206,"8,999",15,33001,2019 Assessor Certified,2018,"10,798","10,798","24,544","24,544","35,342","35,342",2019,"$353,420",2018,"$353,420","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,3,1,Full and Rec Room,None,Yes,2,2.5 car attached,69,"3,383",Assessor Certified
2019,15-01-108-015-0000,1446 ASHLAND AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","24,544","24,544","35,404","35,404",2019,"$354,040",2018,"$354,040","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,3,1,Full and Rec Room,None,Yes,2,2.5 car attached,69,"3,383",Assessor Certified
2019,15-01-108-018-0000,1426 ASHLAND AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","30,612","30,612","41,472","41,472",2019,"$414,720",2018,"$414,720","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,1,Partial and Rec Room,Partial and Living Area,Yes,1,2 car detached,65,"4,480",Assessor Certified
2019,15-01-108-019-0000,1426 ASHLAND AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","30,612","30,612","41,472","41,472",2019,"$414,720",2018,"$414,720","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,1,Partial and Rec Room,Partial and Living Area,Yes,1,2 car detached,65,"4,480",Assessor Certified
2019,15-01-108-020-0000,1416 ASHLAND AVE ,RIVER FOREST,River Forest,206,"18,100",15,33001,2019 Assessor Certified,2018,"21,720","21,720","67,351","67,351","89,071","89,071",2019,"$890,710",2018,"$890,710","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Frame,3,1,Full and Rec Room,None,No,2,None,85,"4,220",Assessor Certified
2019,15-01-108-033-0000,1415 FRANKLIN AVE ,RIVER FOREST,River Forest,206,"14,480",15,33001,2019 Assessor Certified,2018,"17,376","17,376","51,313","51,313","68,689","68,689",2019,"$686,890",2018,"$686,890","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Frame/Masonry,2,1,Full and Rec Room,None,Yes,2,2.5 car detached,77,"2,717",Assessor Certified
2019,15-01-109-007-0000,1444 LATHROP AVE ,RIVER FOREST,River Forest,206,"9,031",15,33001,2019 Assessor Certified,2018,"10,837","10,837","41,071","41,071","51,908","51,908",2019,"$519,080",2018,"$519,080","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,1,1,Partial and Rec Room,None,No,1,2 car attached,78,"2,376",Assessor Certified
2019,15-01-109-008-0000,1442 LATHROP AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","39,201","39,201","50,061","50,061",2019,"$500,610",2018,"$500,610","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,0,Partial and Rec Room,None,Yes,0,2 car attached,78,"2,467",Assessor Certified
2019,15-01-109-013-0000,1414 LATHROP AVE ,RIVER FOREST,River Forest,206,"13,575",15,33001,2019 Assessor Certified,2018,"16,290","16,290","51,210","51,210","67,500","67,500",2019,"$675,000",2018,"$675,000","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,4,0,Full and Unfinished,Partial and Unfinished,Yes,2,2 car attached,90,"3,334",Assessor Certified
2019,15-01-109-014-0000,1410 LATHROP AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","63,017","63,017","73,877","73,877",2019,"$738,770",2018,"$738,770","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,4,2,Full and Rec Room,Partial and Living Area,Yes,3,2 car attached,78,"4,100",Assessor Certified
2019,15-01-109-016-0000,1402 LATHROP AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","55,081","55,081","65,941","65,941",2019,"$659,410",2018,"$659,410","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Frame/Masonry,3,0,Full and Rec Room,Full and Living Area,Yes,1,2 car attached,87,"3,503",Assessor Certified
2019,15-01-109-018-0000,1430 LATHROP AVE ,RIVER FOREST,River Forest,206,"12,670",15,33001,2019 Assessor Certified,2018,"15,204","15,204","39,980","39,980","55,184","55,184",2019,"$551,840",2018,"$551,840","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,1,Full and Rec Room,None,Yes,2,2 car detached,75,"2,394",Assessor Certified
2019,15-01-109-019-0000,1438 LATHROP AVE ,RIVER FOREST,River Forest,206,"16,290",15,33001,2019 Assessor Certified,2018,"19,548","19,548","54,344","54,344","73,892","73,892",2019,"$738,920",2018,"$738,920","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,3,1,Full and Rec Room,None,Yes,1,2 car detached,77,"2,816",Assessor Certified
2019,15-01-109-022-0000,1447 ASHLAND AVE ,RIVER FOREST,River Forest,206,"18,054",15,33001,2019 Assessor Certified,2018,"21,664","21,664","56,643","56,643","78,307","78,307",2019,"$783,070",2018,"$783,070","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,3,0,Full and Rec Room,Partial and Unfinished,Yes,1,2 car attached,92,"3,645",Assessor Certified
2019,15-01-111-001-0000,1345 PARK AVE ,RIVER FOREST,River Forest,206,"10,628",15,33001,2019 Assessor Certified,2018,"12,753","12,753","59,281","59,281","72,034","72,034",2019,"$720,340",2018,"$720,340","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,3,2,Full and Rec Room,Partial and Unfinished,Yes,3,2 car attached,88,"3,992",Assessor Certified
2019,15-01-111-002-0000,1341 PARK AVE ,RIVER FOREST,River Forest,206,"10,860",15,33001,2019 Assessor Certified,2018,"13,032","13,032","61,612","63,581","74,644","76,613",2019,"$746,440",2018,"$766,130","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,3,1,Full and Rec Room,Partial and Unfinished,Yes,2,2 car attached,88,"4,102",Assessor Certified
2019,15-01-111-003-0000,1335 PARK AVE ,RIVER FOREST,River Forest,206,"10,860",15,33001,2019 Assessor Certified,2018,"13,032","13,032","60,034","60,034","73,066","73,066",2019,"$730,660",2018,"$730,660","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,3,1,Full and Rec Room,None,Yes,1,2 car detached,89,"3,997",Assessor Certified
2019,15-01-111-008-0000,1243 PARK AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","41,821","41,821","52,681","52,681",2019,"$526,810",2018,"$526,810","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,1,Full and Rec Room,None,Yes,2,2 car attached,69,"2,622",Assessor Certified
2019,15-01-111-009-0000,1241 PARK AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","39,907","41,370","50,767","52,230",2019,"$507,670",2018,"$522,300","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Frame/Masonry,3,2,Partial and Rec Room,None,Yes,2,2 car attached,64,"2,521",Assessor Certified
2019,15-01-111-011-0000,1231 PARK AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","37,529","39,382","48,389","50,242",2019,"$483,890",2018,"$502,420","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Frame/Masonry,2,2,Partial and Rec Room,None,Yes,2,1 car attached,68,"2,287",Assessor Certified
2019,15-01-111-013-0000,1223 PARK AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","43,849","43,849","54,709","54,709",2019,"$547,090",2018,"$547,090","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,3,1,Full and Unfinished,None,No,1,2 car detached,89,"2,664",Assessor Certified
2019,15-01-111-014-0000,1215 PARK AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","62,300","62,300","73,160","73,160",2019,"$731,600",2018,"$731,600","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Frame/Masonry,3,2,Full and Rec Room,None,Yes,2,2 car detached,91,"3,247",Assessor Certified
2019,15-01-111-015-0000,1213 PARK AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","42,203","42,203","53,063","53,063",2019,"$530,630",2018,"$530,630","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,1,1,Full and Unfinished,Partial and Living Area,No,2,1.5 car attached,66,"2,656",Assessor Certified
2019,15-01-111-018-0000,1346 FRANKLIN AVE ,RIVER FOREST,River Forest,206,"14,248",15,33001,2019 Assessor Certified,2018,"17,097","17,097","64,846","64,846","81,943","81,943",2019,"$819,430",2018,"$819,430","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,5,1,Full and Rec Room,Full and Living Area,Yes,3,2 car attached,76,"4,230",Assessor Certified
2019,15-01-111-032-0000,1319 PARK AVE ,RIVER FOREST,River Forest,206,"10,860",15,33001,2019 Assessor Certified,2018,"13,032","13,032","54,391","54,391","67,423","67,423",2019,"$674,230",2018,"$674,230","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,3,1,Full and Unfinished,None,No,1,2 car attached,78,"3,082",Assessor Certified
2019,15-01-111-035-0000,1201 PARK AVE ,RIVER FOREST,River Forest,206,"9,050",15,33001,2019 Assessor Certified,2018,"10,860","10,860","46,269","46,269","57,129","57,129",2019,"$571,290",2018,"$571,290","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,1,Full and Unfinished,None,Yes,2,2 car attached,76,"3,044",Assessor Certified
2019,15-01-111-037-0000,1307 PARK AVE ,RIVER FOREST,River Forest,206,"9,955",15,33001,2019 Assessor Certified,2018,"11,946","11,946","49,131","49,131","61,077","61,077",2019,"$610,770",2018,"$610,770","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Two Story,Single Family,0,Masonry,2,1,Full and Rec Room,None,Yes,1,2 car attached,78,"3,079",Assessor Certified
